StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Q1,Q2,Q3,Q4,Q4_7_TEXT,Q5,Q5_6_TEXT,Q6,Q6_1_TEXT,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q15
2023-11-01 11:23:43,2023-11-01 11:25:38,IP Address,100,114,True,2023-11-01 11:25:38,R_Z2EiNzhyactnk8F,qr,EN,"Yes, I want to participate",18,Freshman student,"Asian,Hispanic or Latino",Prefer not to answer,,Consistently liberal,,Zip Code,02125,Yes,Plastic bottled water,No,Public Supply,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,better taste/color,,2-6 glasses per day
2023-11-01 11:23:47,2023-11-01 11:26:02,IP Address,100,135,True,2023-11-01 11:26:02,R_1OTDBdntPn9eUWd,qr,EN,"Yes, I want to participate",18,Freshman student,Asian,Woman,,Consistently liberal,,Zip Code,02125,Yes,Plastic bottled water,Yes,Public Supply,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,,,,"Knowing that it comes from a clean source ",,2-6 glasses per day
2023-11-01 11:23:40,2023-11-01 11:26:27,IP Address,100,167,True,2023-11-01 11:26:28,R_22n2WsPp9TQdLyb,qr,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Non-binary,,Consistently liberal,,Zip Code,02125,Yes,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,2,1,3,7,5,4,6,The look and smell.,,2-6 glasses per day
2023-11-01 11:24:05,2023-11-01 11:26:53,IP Address,100,168,True,2023-11-01 11:26:54,R_3kyUZpDEtigrRux,qr,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Woman,,Consistently liberal,,,,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,4,3,6,1,7,2,5,"If the government didn’t mess with it and just cleaned up a bit more ",,2-6 glasses per day
2023-11-01 11:24:26,2023-11-01 11:26:57,IP Address,100,150,True,2023-11-01 11:26:57,R_wXXFC3lycvDqm1H,qr,EN,"Yes, I want to participate",22,Junior student,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,No,Plastic bottled water,Yes,,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,,,,,,,,,,2-6 glasses per day
2023-11-01 11:24:44,2023-11-01 11:27:08,IP Address,100,144,True,2023-11-01 11:27:09,R_3KrbhdDi8oPdqWs,qr,EN,"Yes, I want to participate",19,Sophomore student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02301,No,Tap water,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,3,7,1,6,2,4,5,transperency,Yes,7-12 glasses per
2023-11-01 11:24:42,2023-11-01 11:27:20,IP Address,100,157,True,2023-11-01 11:27:20,R_2q7ZQ9ZYLSSwR4b,qr,EN,"Yes, I want to participate",21,Freshman student,White/Caucasian,Woman,,Mixed,,Prefer not to answer,,,Plastic bottled water,No,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,3,5,2,4,6,7,1,"a brita filter ",,2-6 glasses per day
2023-11-01 11:25:56,2023-11-01 11:29:22,IP Address,100,206,True,2023-11-01 11:29:23,R_WDv0lO6nWnyC6OZ,qr,EN,"Yes, I want to participate",19,Sophomore student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02125,,Tap water,Yes,Public Supply,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,4,7,1,3,5,2,6,,Yes,2-6 glasses per day
2023-11-01 11:30:32,2023-11-01 11:31:07,IP Address,100,34,True,2023-11-01 11:31:08,R_3I0sCraCD7cs5HH,qr,EN,"No, I don't want to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01 11:29:26,2023-11-01 11:31:28,IP Address,100,121,True,2023-11-01 11:31:28,R_1dowyfCRv0U7mik,qr,EN,"Yes, I want to participate",18,Freshman student,"White/Caucasian,Hispanic or Latino",Woman,,Prefer not to answer,,Prefer not to answer,,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,2,4,1,3,7,5,6,,Yes,2-6 glasses per day
2023-11-01 11:30:12,2023-11-01 11:32:30,IP Address,100,138,True,2023-11-01 11:32:31,R_3fH9usljm5qlkkq,qr,EN,"Yes, I want to participate",18,Freshman student,Black or African American,Woman,,Prefer not to answer,,Prefer not to answer,,No,Glass bottled/canned/boxed water,Yes,Well,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,"Knowing where it’s coming from and how it taste ",,7-12 glasses per
2023-11-01 11:31:09,2023-11-01 11:34:46,IP Address,100,216,True,2023-11-01 11:34:46,R_2wyvtWGBxOtfzfN,qr,EN,"Yes, I want to participate",20,Sophomore student,Asian,Woman,,Prefer not to answer,,Zip Code,02124,Yes,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,3,6,7,1,5,2,4,,Yes,2-6 glasses per day
2023-11-01 11:34:24,2023-11-01 11:40:23,IP Address,100,359,True,2023-11-01 11:40:23,R_1mJyBTUktEG12Y9,qr,EN,"Yes, I want to participate",33,Master's student,Black or African American,Woman,,Consistently liberal,,Zip Code,02124,No,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,2,7,1,4,5,3,6,,No,Less than 2 glasses per day
2023-11-01 11:15:21,2023-11-01 15:08:36,IP Address,100,13995,True,2023-11-01 15:08:36,R_12iq4nQHt55CUry,qr,EN,"Yes, I want to participate",18,Freshman student,Asian,Woman,,Prefer not to answer,,Zip Code,02184,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,"Probably with how the water quality was supplied to the town that I lived at. ",,2-6 glasses per day
2023-11-01 15:09:56,2023-11-01 15:14:11,IP Address,100,255,True,2023-11-01 15:14:12,R_248G6dP9krRvsng,qr,EN,"Yes, I want to participate",32,PhD student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02169,,Tap water,Yes,,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,7,5,6,3,1,2,4,,No,7-12 glasses per
2023-11-01 15:17:58,2023-11-01 15:20:36,IP Address,100,158,True,2023-11-01 15:20:37,R_1MLO7tKrZTrnkEK,qr,EN,"Yes, I want to participate",18,Freshman student,Black or African American,Woman,,Prefer not to answer,,Zip Code,02119,No,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,5,2,3,6,1,4,7,"to know if it’s spruce is clean ",,2-6 glasses per day
2023-11-01 15:16:15,2023-11-01 15:21:39,IP Address,100,323,True,2023-11-01 15:21:40,R_32JZJuExBIucY77,qr,EN,"Yes, I want to participate",22,Senior student,"Asian,White/Caucasian",Woman,,Mixed,,Zip Code,02072,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,"If I knew more about where it comes from/how it’s filtered without having to look for the information ",Yes,7-12 glasses per
2023-11-01 15:19:15,2023-11-01 15:22:29,IP Address,100,194,True,2023-11-01 15:22:30,R_3F4FI0jP3N9T9fD,qr,EN,"Yes, I want to participate",28,Master's student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02066,Yes,Prefer not to answer,Yes,Public Supply,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,2,6,1,7,3,4,5,More frequent and reliable updates on water testing,,
2023-11-01 15:19:31,2023-11-01 15:26:31,IP Address,100,420,True,2023-11-01 15:26:31,R_3ekSaUzuNdHEQEQ,qr,EN,"Yes, I want to participate",27,Master's student,White/Caucasian,Man,,Other,"Socialist, communist",Zip Code,02125,No,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,1,3,7,6,4,2,5,Frequent water testing by the government and making these tests available to the public,Yes,7-12 glasses per
2023-11-01 15:10:12,2023-11-01 16:03:35,IP Address,100,3203,True,2023-11-01 16:03:36,R_31iOT4Nf76jxanU,qr,EN,"Yes, I want to participate",29,Master's student,White/Caucasian,Woman,,Consistently liberal,,Zip Code,02132,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,,,,Knowing the composition of the city's water pipes,No,2-6 glasses per day
2023-11-02 13:31:53,2023-11-02 13:36:13,IP Address,100,260,True,2023-11-02 13:36:14,R_2Cy53c92oU9yOCT,qr,EN,"Yes, I want to participate",22,Senior student,Black or African American,Man,,Other,None,Zip Code,02368,,Plastic bottled water,Yes,Public Supply,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,3,4,1,5,6,7,2,"The source in which the water is coming from because there is a lot of pollution around our source of water. ",,13 or more glasses per day
2023-11-02 13:39:12,2023-11-02 13:40:59,IP Address,100,107,True,2023-11-02 13:41:00,R_3hrKuZQ0lCJWNuH,qr,EN,"Yes, I want to participate",20,Freshman student,Asian,Man,,Mostly liberal,,Zip Code,02125,Yes,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,,,,Information about its purity,,13 or more glasses per day
2023-11-02 13:39:15,2023-11-02 13:41:10,IP Address,100,114,True,2023-11-02 13:41:10,R_27E8BcJvwQSnHcc,qr,EN,"Yes, I want to participate",20,Junior student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02360,No,Plastic bottled water,No,Well,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,6,1,4,2,5,3,7,,,2-6 glasses per day
2023-11-02 13:40:16,2023-11-02 13:41:45,IP Address,100,88,True,2023-11-02 13:41:45,R_XqaQrTfmMqPlnod,qr,EN,"Yes, I want to participate",21,Senior student,"American Indian or Alaska Native,Black or African American,White/Caucasian,Hispanic or Latino",Woman,,Mostly liberal,,Prefer not to answer,,No,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,6,4,1,7,3,5,2,"Clean pipes ",,7-12 glasses per
2023-11-02 13:39:21,2023-11-02 13:42:18,IP Address,100,177,True,2023-11-02 13:42:19,R_O2NqquhnhCLPi7L,qr,EN,"Yes, I want to participate",21,Senior student,White/Caucasian,Woman,,Consistently liberal,,Zip Code,02125,,Tap water,Yes,Public Supply,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,6,2,1,3,7,4,5,Probably if everyone didn’t bash boston water,Yes,7-12 glasses per
2023-11-02 13:39:51,2023-11-02 13:42:19,IP Address,100,147,True,2023-11-02 13:42:19,R_2uwfBIdntlwu1pv,qr,EN,"Yes, I want to participate",24,Senior student,"Black or African American,White/Caucasian",Man,,Mostly liberal,,Zip Code,02128,,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,2-6 glasses per day
2023-11-02 13:40:26,2023-11-02 13:42:21,IP Address,100,115,True,2023-11-02 13:42:22,R_1IXc9FFHtqssZn7,qr,EN,"Yes, I want to participate",22,Prefer not to answer,Prefer not to answer,Woman,,Mixed,,Zip Code,02148,No,Tap water,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,No,2-6 glasses per day
2023-11-02 13:39:36,2023-11-02 13:42:47,IP Address,100,191,True,2023-11-02 13:42:49,R_1CkaAVt8ENJuck4,qr,EN,"Yes, I want to participate",25,Senior student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02128,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,2,1,3,4,6,5,7,Something easily provided by the government that the water is monitored and safe,Yes,Less than 2 glasses per day
2023-11-02 13:40:10,2023-11-02 13:43:13,IP Address,100,182,True,2023-11-02 13:43:13,R_dgnqyTnUcKKNmaB,qr,EN,"Yes, I want to participate",18,Freshman student,"Asian,White/Caucasian",Transgender man,,Mostly liberal,,Zip Code,02125,,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,2,6,5,1,7,4,If I understood the regulations and knew where it came from,No,2-6 glasses per day
2023-11-02 13:39:52,2023-11-02 13:43:15,IP Address,100,202,True,2023-11-02 13:43:15,R_32LPEOEuh2VP2Ur,qr,EN,"Yes, I want to participate",30,Master's student,"Asian,White/Caucasian",Man,,Mostly conservative,,Zip Code,01702,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,2,1,3,5,6,4,7,,,7-12 glasses per
2023-11-02 13:40:58,2023-11-02 13:43:41,IP Address,100,162,True,2023-11-02 13:43:41,R_1dcPc0HGdCiF0d4,qr,EN,"Yes, I want to participate",Old enough,Senior student,"Native Hawaiian or Other Pacific Islander,White/Caucasian",Man,,Mostly conservative,,Zip Code,01970,Yes,Tap water,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,Yes,7-12 glasses per
2023-11-02 13:41:49,2023-11-02 13:44:23,IP Address,100,154,True,2023-11-02 13:44:23,R_2WuR0CRffuQQ0bP,qr,EN,"Yes, I want to participate",21,Junior student,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,5,3,1,2,6,4,7,If I knew where it was filtered and how consistent the filtration was,,2-6 glasses per day
2023-11-02 13:42:19,2023-11-02 13:44:25,IP Address,100,126,True,2023-11-02 13:44:26,R_W8UUH0W7E6nxapz,qr,EN,"Yes, I want to participate",18,Sophomore student,White/Caucasian,Woman,,Consistently liberal,,Zip Code,02125,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
2023-11-02 13:42:55,2023-11-02 13:46:57,IP Address,100,242,True,2023-11-02 13:46:58,R_2f24Kii7jLVqsbu,qr,EN,"Yes, I want to participate",28,Sophomore student,American Indian or Alaska Native,Man,,Other,"Non-political ",Zip Code,02121,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,,,,,,,,"More available information, also if tap water didn’t taste like chlorine I wouldn’t question it that much",Yes,13 or more glasses per day
2023-11-02 13:43:35,2023-11-02 13:49:32,IP Address,100,356,True,2023-11-02 13:49:32,R_1mksAgMFIYjslXE,qr,EN,"Yes, I want to participate",21,Senior student,Asian,Woman,,Mostly conservative,,Zip Code,02170,,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,,,Less than 2 glasses per day
2023-11-02 13:42:12,2023-11-02 13:50:58,IP Address,100,525,True,2023-11-02 13:50:59,R_U9FiQdme6svnE6R,qr,EN,"Yes, I want to participate","24 ",Other,White/Caucasian,Woman,,Mixed,,Zip Code,02113,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,5,4,1,3,7,2,6,,Yes,7-12 glasses per
2023-11-02 13:43:48,2023-11-02 13:52:51,IP Address,100,542,True,2023-11-02 13:52:51,R_31pFCBBFUp5678U,qr,EN,"Yes, I want to participate",23,Junior student,Hispanic or Latino,Woman,,Mixed,,Zip Code,02150,,Plastic bottled water,No,,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,"I don’t know ",,2-6 glasses per day
2023-11-03 14:57:58,2023-11-03 15:02:34,IP Address,100,276,True,2023-11-03 15:02:35,R_1rNAlNUAXTiIRkB,qr,EN,"Yes, I want to participate",27,PhD student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02160,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4,3,1,6,5,2,7,"Distributed water quality tests ",No,7-12 glasses per
2023-11-05 14:17:56,2023-11-05 14:34:37,IP Address,100,1001,True,2023-11-05 14:34:38,R_1kYBuwJYDr7rOsz,qr,EN,"Yes, I want to participate",23,Senior student,Asian,Woman,,Consistently liberal,,Zip Code,02124,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1,4,3,2,5,7,6,Maybe more (accurate) statistics about the tap water.,,2-6 glasses per day
2023-11-06 10:45:21,2023-11-06 10:45:30,IP Address,100,8,True,2023-11-06 10:45:31,R_DAcB61F14pnO1pL,qr,EN,"Yes, I want to participate",17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-06 10:43:34,2023-11-06 10:45:34,IP Address,100,119,True,2023-11-06 10:45:35,R_1DYk4pg3l7MylrT,qr,EN,"Yes, I want to participate",21,Junior student,Hispanic or Latino,Woman,,Consistently liberal,,Zip Code,02125,,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,2,5,1,6,7,3,4,,,7-12 glasses per
2023-11-06 10:43:09,2023-11-06 10:46:28,IP Address,100,199,True,2023-11-06 10:46:28,R_T62kHipfbQDMbvz,qr,EN,"Yes, I want to participate",28,Senior student,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,Yes,Tap water,Yes,Public Supply,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,7,5,1,3,4,2,6,"Less carcinogens ",Yes,7-12 glasses per
2023-11-06 10:45:12,2023-11-06 10:46:57,IP Address,100,105,True,2023-11-06 10:46:58,R_2eP9U7oWHEnJz2t,qr,EN,"Yes, I want to participate",18,Freshman student,Asian,Man,,Mostly conservative,,Zip Code,02169,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2,1,3,4,6,5,7,Better filtration process,,7-12 glasses per
2023-11-06 10:45:35,2023-11-06 10:47:12,IP Address,100,97,True,2023-11-06 10:47:13,R_7VcEPdpaCE8z1Dz,qr,EN,"Yes, I want to participate",18,Freshman student,Asian,Woman,,Mixed,,Zip Code,02170,Yes,Plastic bottled water,No,Public Supply,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,5,6,1,7,3,4,2,Data,,7-12 glasses per
2023-11-06 10:48:17,2023-11-06 10:50:09,IP Address,100,111,True,2023-11-06 10:50:10,R_1l9uU5MJgldc4uM,qr,EN,"Yes, I want to participate",18,Freshman student,Prefer not to answer,Woman,,Prefer not to answer,,Zip Code,02148,,Plastic bottled water,No,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,1,6,3,2,4,5,7,"proof it’s filtered, tastes good",,7-12 glasses per
2023-11-06 10:48:08,2023-11-06 10:50:45,IP Address,100,157,True,2023-11-06 10:50:45,R_2uWcAiOZ2sEM3gT,qr,EN,"Yes, I want to participate",19,Freshman student,Hispanic or Latino,Woman,,Consistently liberal,,Zip Code,02302,,Tap water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,5,2,1,3,4,7,6,,Yes,2-6 glasses per day
2023-11-06 10:51:29,2023-11-06 10:52:54,IP Address,100,84,True,2023-11-06 10:52:54,R_2WCH40hJDzCE9RZ,qr,EN,"Yes, I want to participate",19,Sophomore student,Asian,Woman,,Other,,Prefer not to answer,,No,Plastic bottled water,Prefer not to answer,Public Supply,,,,,,,,,,,,,,,Less than 2 glasses per day
2023-11-06 10:53:33,2023-11-06 10:55:38,IP Address,100,124,True,2023-11-06 10:55:38,R_2wgLgtqQflwFkkL,qr,EN,"Yes, I want to participate",18,Freshman student,Asian,Woman,,Consistently liberal,,Prefer not to answer,,No,Plastic bottled water,Yes,,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,3,5,6,2,4,1,7,If there was more accessible information confirming the safer of tape water.,,2-6 glasses per day
2023-11-06 11:03:58,2023-11-06 11:06:07,IP Address,100,129,True,2023-11-06 11:06:08,R_3JhreBaGMp9kg26,qr,EN,"Yes, I want to participate",22,Master's student,White/Caucasian,Man,,Mixed,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,2-6 glasses per day
2023-11-06 11:03:57,2023-11-06 11:07:19,IP Address,100,202,True,2023-11-06 11:07:19,R_3nBJ7sq4NsaHSTC,qr,EN,"Yes, I want to participate",26,Master's student,White/Caucasian,Man,,Mostly liberal,,Zip Code,02128,,Plastic bottled water,No,Public Supply,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,1,2,3,6,4,7,5,"Better Taste, transparency and information on the quality",,7-12 glasses per
2023-11-06 11:12:57,2023-11-06 11:14:23,IP Address,100,85,True,2023-11-06 11:14:24,R_1BQUljVoEt4Ogof,qr,EN,"Yes, I want to participate",25,PhD student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,01906,No,Plastic bottled water,No,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,2-6 glasses per day
2023-11-06 11:12:44,2023-11-06 11:14:33,IP Address,100,109,True,2023-11-06 11:14:34,R_732MsiD1d7ypDjj,qr,EN,"Yes, I want to participate",36,PhD student,Black or African American,Woman,,Mostly liberal,,Zip Code,02864,,Tap water,Yes,Public Supply,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat disagree,1,4,2,5,6,7,3,"Nothing ",Yes,2-6 glasses per day
2023-11-06 11:12:30,2023-11-06 11:15:28,IP Address,100,178,True,2023-11-06 11:15:29,R_1dFCPfxFXKvAGtw,qr,EN,"Yes, I want to participate",29,PhD student,White/Caucasian,Woman,,Other,,,,Yes,Plastic bottled water,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,7-12 glasses per
2023-11-06 11:11:27,2023-11-06 11:19:04,IP Address,100,456,True,2023-11-06 11:19:05,R_1gBakho3dreZ4vj,qr,EN,"Yes, I want to participate",44,PhD student,White/Caucasian,Man,,Other,"Value-based views ",Zip Code,06239,No,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,3,4,2,5,6,7,1,"More information about the oh balance and chemical makeup. How does it compare empirically to bottled water especially natural spring water not purified water!   ",,2-6 glasses per day
2023-11-06 11:37:17,2023-11-06 11:40:50,IP Address,100,212,True,2023-11-06 11:40:51,R_r8TlhBdVpMbaWLn,qr,EN,"Yes, I want to participate",34,PhD student,Asian,Man,,Mostly liberal,,Zip Code,02125,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,"Health ",Yes,2-6 glasses per day
2023-11-06 20:27:13,2023-11-06 20:29:24,IP Address,100,131,True,2023-11-06 20:29:25,R_xl2wpuKLcTdvcMV,qr,EN,"Yes, I want to participate",25,Master's student,Asian,Woman,,Mixed,,Zip Code,02125,Yes,Tap water,No,Public Supply,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
2023-11-06 20:29:49,2023-11-06 20:34:14,IP Address,100,264,True,2023-11-06 20:34:15,R_1H7xz0eZfBHqQon,qr,EN,"Yes, I want to participate",24,Master's student,Asian,Woman,,Prefer not to answer,,Zip Code,02125,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,"An announcement from an official body that it's safe to drink. ",No,7-12 glasses per
2023-11-06 20:34:28,2023-11-06 20:38:53,IP Address,100,265,True,2023-11-06 20:38:53,R_3NRluivqZmXAGrv,qr,EN,"Yes, I want to participate",25,Master's student,Asian,Woman,,Mostly liberal,,Zip Code,02125,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,"Taste, color",Yes,2-6 glasses per day
2023-11-06 20:38:17,2023-11-06 20:39:57,IP Address,100,99,True,2023-11-06 20:39:57,R_3GwSZRmRb3LOFW5,qr,EN,"Yes, I want to participate",24,Other,Black or African American,Transgender woman,,Mostly conservative,,,,No,Plastic bottled water,No,Public Supply,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,13 or more glasses per day
2023-11-06 20:39:52,2023-11-06 20:42:43,IP Address,100,170,True,2023-11-06 20:42:44,R_21sMCChokZUjX2A,qr,EN,"Yes, I want to participate",25,Master's student,Asian,Man,,Prefer not to answer,,Zip Code,10031,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,1,2,3,4,5,6,7,,Yes,13 or more glasses per day
2023-11-06 21:10:46,2023-11-06 21:23:02,IP Address,100,735,True,2023-11-06 21:23:02,R_28YcTacWweKg5Al,qr,EN,"Yes, I want to participate",28,Master's student,Asian,Man,,Mixed,,Zip Code,02125,Yes,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,2,3,1,4,5,7,6,,Yes,13 or more glasses per day
2023-11-06 21:26:58,2023-11-06 21:31:47,IP Address,100,288,True,2023-11-06 21:31:48,R_1DZ2kPfUwtMOA4G,qr,EN,"Yes, I want to participate",21,Senior student,Asian,Man,,Mixed,,Zip Code,02125,No,Tap water,No,Public Supply,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,5,3,1,4,2,7,6,"Water filters ",Yes,13 or more glasses per day
2023-11-06 21:47:47,2023-11-06 21:49:32,IP Address,100,104,True,2023-11-06 21:49:33,R_1lzXXogazkFcO08,qr,EN,"Yes, I want to participate",27,Master's student,Prefer not to answer,Man,,Prefer not to answer,,,,Yes,Tap water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,7,5,2,1,3,6,,Yes,7-12 glasses per
2023-11-06 22:03:11,2023-11-06 22:05:01,IP Address,100,109,True,2023-11-06 22:05:02,R_bqrWFDIpFQcknQJ,qr,EN,"Yes, I want to participate",24,Master's student,Asian,Man,,Mixed,,Zip Code,02125,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1,2,3,5,6,4,7,,Yes,7-12 glasses per
2023-11-07 11:19:13,2023-11-07 11:21:43,IP Address,100,150,True,2023-11-07 11:21:44,R_25NLdgh1NCxbmJo,qr,EN,"Yes, I want to participate",22,Junior student,Black or African American,Man,,Mixed,,Prefer not to answer,,,Plastic bottled water,No,Public Supply,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,1,7,3,4,6,5,2,Nothing,,7-12 glasses per
