StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Age,SchoolYear,Race,Gender,GenderOther,PoliticalAffil,PoliticalOther,Q6,ZipCode,QualIssues,PrimarySource,WaterBottle,HomeSource,HomeTapSafe,CampusTapSafe,PlasticBottleSafe,GovtReliable,ChoiceOtherCommunity,RankTaste,RankAppearance,RankHealth,RankConvenience,RankEnvironment,RankCost,RankSource,OpenResponse1,FilterYesNo,DailyQuantity
11/2/2023 13:31,11/2/2023 13:36,IP Address,100,260,TRUE,11/2/2023 13:36,R_2Cy53c92oU9yOCT,qr,EN,"Yes, I want to participate",22,Senior,Black or African American,Man,,Other,None,Zip Code,2368,,Plastic bottled water,Yes,Public Supply,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,3,4,1,5,6,7,2,The source in which the water is coming from because there is a lot of pollution around our source of water. ,,13 or more glasses per day
11/2/2023 13:39,11/2/2023 13:40,IP Address,100,107,TRUE,11/2/2023 13:41,R_3hrKuZQ0lCJWNuH,qr,EN,"Yes, I want to participate",20,Freshman,Asian,Man,,Mostly liberal,,Zip Code,2125,Yes,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,,,,Information about its purity,,13 or more glasses per day
11/2/2023 13:39,11/2/2023 13:41,IP Address,100,114,TRUE,11/2/2023 13:41,R_27E8BcJvwQSnHcc,qr,EN,"Yes, I want to participate",20,Junior,White/Caucasian,Man,,Consistently liberal,,Zip Code,2360,No,Plastic bottled water,No,Well,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,6,1,4,2,5,3,7,,,2-6 glasses per day
11/2/2023 13:40,11/2/2023 13:41,IP Address,100,88,TRUE,11/2/2023 13:41,R_XqaQrTfmMqPlnod,qr,EN,"Yes, I want to participate",21,Senior,"American Indian or Alaska Native,Black or African American,White/Caucasian,Hispanic or Latino",Woman,,Mostly liberal,,Prefer not to answer,,No,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,6,4,1,7,3,5,2,Clean pipes ,,7-12 glasses per
11/2/2023 13:39,11/2/2023 13:42,IP Address,100,177,TRUE,11/2/2023 13:42,R_O2NqquhnhCLPi7L,qr,EN,"Yes, I want to participate",21,Senior,White/Caucasian,Woman,,Consistently liberal,,Zip Code,2125,,Tap water,Yes,Public Supply,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,6,2,1,3,7,4,5,Probably if everyone didn’t bash boston water,Yes,7-12 glasses per
11/2/2023 13:39,11/2/2023 13:42,IP Address,100,147,TRUE,11/2/2023 13:42,R_2uwfBIdntlwu1pv,qr,EN,"Yes, I want to participate",24,Senior,"Black or African American,White/Caucasian",Man,,Mostly liberal,,Zip Code,2128,,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,2-6 glasses per day
11/2/2023 13:40,11/2/2023 13:42,IP Address,100,115,TRUE,11/2/2023 13:42,R_1IXc9FFHtqssZn7,qr,EN,"Yes, I want to participate",22,Prefer not to answer,Prefer not to answer,Woman,,Mixed,,Zip Code,2148,No,Tap water,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,No,2-6 glasses per day
11/2/2023 13:39,11/2/2023 13:42,IP Address,100,191,TRUE,11/2/2023 13:42,R_1CkaAVt8ENJuck4,qr,EN,"Yes, I want to participate",25,Senior,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2128,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,2,1,3,4,6,5,7,Something easily provided by the government that the water is monitored and safe,Yes,Less than 2 glasses per day
11/2/2023 13:40,11/2/2023 13:43,IP Address,100,182,TRUE,11/2/2023 13:43,R_dgnqyTnUcKKNmaB,qr,EN,"Yes, I want to participate",18,Freshman,"Asian,White/Caucasian",Transgender man,,Mostly liberal,,Zip Code,2125,,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,2,6,5,1,7,4,If I understood the regulations and knew where it came from,No,2-6 glasses per day
11/2/2023 13:39,11/2/2023 13:43,IP Address,100,202,TRUE,11/2/2023 13:43,R_32LPEOEuh2VP2Ur,qr,EN,"Yes, I want to participate",30,Master,"Asian,White/Caucasian",Man,,Mostly conservative,,Zip Code,1702,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,2,1,3,5,6,4,7,,,7-12 glasses per
11/2/2023 13:40,11/2/2023 13:43,IP Address,100,162,TRUE,11/2/2023 13:43,R_1dcPc0HGdCiF0d4,qr,EN,"Yes, I want to participate",Old enough,Senior,"Native Hawaiian or Other Pacific Islander,White/Caucasian",Man,,Mostly conservative,,Zip Code,1970,Yes,Tap water,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,Yes,7-12 glasses per
11/2/2023 13:41,11/2/2023 13:44,IP Address,100,154,TRUE,11/2/2023 13:44,R_2WuR0CRffuQQ0bP,qr,EN,"Yes, I want to participate",21,Junior,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,5,3,1,2,6,4,7,If I knew where it was filtered and how consistent the filtration was,,2-6 glasses per day
11/2/2023 13:42,11/2/2023 13:44,IP Address,100,126,TRUE,11/2/2023 13:44,R_W8UUH0W7E6nxapz,qr,EN,"Yes, I want to participate",18,Sophomore,White/Caucasian,Woman,,Consistently liberal,,Zip Code,2125,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
11/2/2023 13:42,11/2/2023 13:46,IP Address,100,242,TRUE,11/2/2023 13:46,R_2f24Kii7jLVqsbu,qr,EN,"Yes, I want to participate",28,Sophomore,American Indian or Alaska Native,Man,,Other,Non-political ,Zip Code,2121,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,,,,,,,,"More available information, also if tap water didn’t taste like chlorine I wouldn’t question it that much",Yes,13 or more glasses per day
11/2/2023 13:43,11/2/2023 13:49,IP Address,100,356,TRUE,11/2/2023 13:49,R_1mksAgMFIYjslXE,qr,EN,"Yes, I want to participate",21,Senior,Asian,Woman,,Mostly conservative,,Zip Code,2170,,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,,,Less than 2 glasses per day
11/2/2023 13:42,11/2/2023 13:50,IP Address,100,525,TRUE,11/2/2023 13:50,R_U9FiQdme6svnE6R,qr,EN,"Yes, I want to participate",24,Other,White/Caucasian,Woman,,Mixed,,Zip Code,2113,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,5,4,1,3,7,2,6,,Yes,7-12 glasses per
11/2/2023 13:43,11/2/2023 13:52,IP Address,100,542,TRUE,11/2/2023 13:52,R_31pFCBBFUp5678U,qr,EN,"Yes, I want to participate",23,Junior,Hispanic or Latino,Woman,,Mixed,,Zip Code,2150,,Plastic bottled water,No,,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,I don’t know ,,2-6 glasses per day
11/3/2023 14:57,11/3/2023 15:02,IP Address,100,276,TRUE,11/3/2023 15:02,R_1rNAlNUAXTiIRkB,qr,EN,"Yes, I want to participate",27,PhD,White/Caucasian,Man,,Consistently liberal,,Zip Code,2160,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4,3,1,6,5,2,7,Distributed water quality tests ,No,7-12 glasses per
11/5/2023 14:17,11/5/2023 14:34,IP Address,100,1001,TRUE,11/5/2023 14:34,R_1kYBuwJYDr7rOsz,qr,EN,"Yes, I want to participate",23,Senior,Asian,Woman,,Consistently liberal,,Zip Code,2124,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1,4,3,2,5,7,6,Maybe more (accurate) statistics about the tap water.,,2-6 glasses per day
11/6/2023 10:45,11/6/2023 10:45,IP Address,100,8,TRUE,11/6/2023 10:45,R_DAcB61F14pnO1pL,qr,EN,"Yes, I want to participate",17,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2023 10:43,11/6/2023 10:45,IP Address,100,119,TRUE,11/6/2023 10:45,R_1DYk4pg3l7MylrT,qr,EN,"Yes, I want to participate",21,Junior,Hispanic or Latino,Woman,,Consistently liberal,,Zip Code,2125,,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,2,5,1,6,7,3,4,,,7-12 glasses per
11/6/2023 10:43,11/6/2023 10:46,IP Address,100,199,TRUE,11/6/2023 10:46,R_T62kHipfbQDMbvz,qr,EN,"Yes, I want to participate",28,Senior,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,Yes,Tap water,Yes,Public Supply,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,7,5,1,3,4,2,6,Less carcinogens ,Yes,7-12 glasses per
11/6/2023 10:45,11/6/2023 10:46,IP Address,100,105,TRUE,11/6/2023 10:46,R_2eP9U7oWHEnJz2t,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Man,,Mostly conservative,,Zip Code,2169,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2,1,3,4,6,5,7,Better filtration process,,7-12 glasses per
11/6/2023 10:45,11/6/2023 10:47,IP Address,100,97,TRUE,11/6/2023 10:47,R_7VcEPdpaCE8z1Dz,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Woman,,Mixed,,Zip Code,2170,Yes,Plastic bottled water,No,Public Supply,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,5,6,1,7,3,4,2,Data,,7-12 glasses per
11/6/2023 10:48,11/6/2023 10:50,IP Address,100,111,TRUE,11/6/2023 10:50,R_1l9uU5MJgldc4uM,qr,EN,"Yes, I want to participate",18,Freshman,Prefer not to answer,Woman,,Prefer not to answer,,Zip Code,2148,,Plastic bottled water,No,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,1,6,3,2,4,5,7,"proof it’s filtered, tastes good",,7-12 glasses per
11/6/2023 10:48,11/6/2023 10:50,IP Address,100,157,TRUE,11/6/2023 10:50,R_2uWcAiOZ2sEM3gT,qr,EN,"Yes, I want to participate",19,Freshman,Hispanic or Latino,Woman,,Consistently liberal,,Zip Code,2302,,Tap water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,5,2,1,3,4,7,6,,Yes,2-6 glasses per day
11/6/2023 10:51,11/6/2023 10:52,IP Address,100,84,TRUE,11/6/2023 10:52,R_2WCH40hJDzCE9RZ,qr,EN,"Yes, I want to participate",19,Sophomore,Asian,Woman,,Other,,Prefer not to answer,,No,Plastic bottled water,Prefer not to answer,Public Supply,,,,,,,,,,,,,,,Less than 2 glasses per day
11/6/2023 10:53,11/6/2023 10:55,IP Address,100,124,TRUE,11/6/2023 10:55,R_2wgLgtqQflwFkkL,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Woman,,Consistently liberal,,Prefer not to answer,,No,Plastic bottled water,Yes,,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,3,5,6,2,4,1,7,If there was more accessible information confirming the safer of tape water.,,2-6 glasses per day
11/6/2023 11:03,11/6/2023 11:06,IP Address,100,129,TRUE,11/6/2023 11:06,R_3JhreBaGMp9kg26,qr,EN,"Yes, I want to participate",22,Master,White/Caucasian,Man,,Mixed,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,2-6 glasses per day
11/6/2023 11:03,11/6/2023 11:07,IP Address,100,202,TRUE,11/6/2023 11:07,R_3nBJ7sq4NsaHSTC,qr,EN,"Yes, I want to participate",26,Master,White/Caucasian,Man,,Mostly liberal,,Zip Code,2128,,Plastic bottled water,No,Public Supply,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,1,2,3,6,4,7,5,"Better Taste, transparency and information on the quality",,7-12 glasses per
11/6/2023 11:12,11/6/2023 11:14,IP Address,100,85,TRUE,11/6/2023 11:14,R_1BQUljVoEt4Ogof,qr,EN,"Yes, I want to participate",25,PhD,White/Caucasian,Woman,,Mostly liberal,,Zip Code,1906,No,Plastic bottled water,No,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,2-6 glasses per day
11/6/2023 11:12,11/6/2023 11:14,IP Address,100,109,TRUE,11/6/2023 11:14,R_732MsiD1d7ypDjj,qr,EN,"Yes, I want to participate",36,PhD,Black or African American,Woman,,Mostly liberal,,Zip Code,2864,,Tap water,Yes,Public Supply,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat disagree,1,4,2,5,6,7,3,Nothing ,Yes,2-6 glasses per day
11/6/2023 11:12,11/6/2023 11:15,IP Address,100,178,TRUE,11/6/2023 11:15,R_1dFCPfxFXKvAGtw,qr,EN,"Yes, I want to participate",29,PhD,White/Caucasian,Woman,,Other,,,,Yes,Plastic bottled water,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,7-12 glasses per
11/6/2023 11:11,11/6/2023 11:19,IP Address,100,456,TRUE,11/6/2023 11:19,R_1gBakho3dreZ4vj,qr,EN,"Yes, I want to participate",44,PhD,White/Caucasian,Man,,Other,Value-based views ,Zip Code,6239,No,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,3,4,2,5,6,7,1,More information about the oh balance and chemical makeup. How does it compare empirically to bottled water especially natural spring water not purified water!   ,,2-6 glasses per day
11/6/2023 11:37,11/6/2023 11:40,IP Address,100,212,TRUE,11/6/2023 11:40,R_r8TlhBdVpMbaWLn,qr,EN,"Yes, I want to participate",34,PhD,Asian,Man,,Mostly liberal,,Zip Code,2125,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,Health ,Yes,2-6 glasses per day
11/6/2023 20:27,11/6/2023 20:29,IP Address,100,131,TRUE,11/6/2023 20:29,R_xl2wpuKLcTdvcMV,qr,EN,"Yes, I want to participate",25,Master,Asian,Woman,,Mixed,,Zip Code,2125,Yes,Tap water,No,Public Supply,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
11/6/2023 20:29,11/6/2023 20:34,IP Address,100,264,TRUE,11/6/2023 20:34,R_1H7xz0eZfBHqQon,qr,EN,"Yes, I want to participate",24,Master,Asian,Woman,,Prefer not to answer,,Zip Code,2125,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,An announcement from an official body that it's safe to drink. ,No,7-12 glasses per
11/6/2023 20:34,11/6/2023 20:38,IP Address,100,265,TRUE,11/6/2023 20:38,R_3NRluivqZmXAGrv,qr,EN,"Yes, I want to participate",25,Master,Asian,Woman,,Mostly liberal,,Zip Code,2125,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,"Taste, color",Yes,2-6 glasses per day
11/6/2023 20:38,11/6/2023 20:39,IP Address,100,99,TRUE,11/6/2023 20:39,R_3GwSZRmRb3LOFW5,qr,EN,"Yes, I want to participate",24,Other,Black or African American,Transgender woman,,Mostly conservative,,,,No,Plastic bottled water,No,Public Supply,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,13 or more glasses per day
11/6/2023 20:39,11/6/2023 20:42,IP Address,100,170,TRUE,11/6/2023 20:42,R_21sMCChokZUjX2A,qr,EN,"Yes, I want to participate",25,Master,Asian,Man,,Prefer not to answer,,Zip Code,10031,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,1,2,3,4,5,6,7,,Yes,13 or more glasses per day
11/6/2023 21:10,11/6/2023 21:23,IP Address,100,735,TRUE,11/6/2023 21:23,R_28YcTacWweKg5Al,qr,EN,"Yes, I want to participate",28,Master,Asian,Man,,Mixed,,Zip Code,2125,Yes,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,2,3,1,4,5,7,6,,Yes,13 or more glasses per day
11/6/2023 21:26,11/6/2023 21:31,IP Address,100,288,TRUE,11/6/2023 21:31,R_1DZ2kPfUwtMOA4G,qr,EN,"Yes, I want to participate",21,Senior,Asian,Man,,Mixed,,Zip Code,2125,No,Tap water,No,Public Supply,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,5,3,1,4,2,7,6,Water filters ,Yes,13 or more glasses per day
11/6/2023 21:47,11/6/2023 21:49,IP Address,100,104,TRUE,11/6/2023 21:49,R_1lzXXogazkFcO08,qr,EN,"Yes, I want to participate",27,Master,Prefer not to answer,Man,,Prefer not to answer,,,,Yes,Tap water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,7,5,2,1,3,6,,Yes,7-12 glasses per
11/6/2023 22:03,11/6/2023 22:05,IP Address,100,109,TRUE,11/6/2023 22:05,R_bqrWFDIpFQcknQJ,qr,EN,"Yes, I want to participate",24,Master,Asian,Man,,Mixed,,Zip Code,2125,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1,2,3,5,6,4,7,,Yes,7-12 glasses per
11/7/2023 11:19,11/7/2023 11:21,IP Address,100,150,TRUE,11/7/2023 11:21,R_25NLdgh1NCxbmJo,qr,EN,"Yes, I want to participate",22,Junior,Black or African American,Man,,Mixed,,Prefer not to answer,,,Plastic bottled water,No,Public Supply,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,1,7,3,4,6,5,2,Nothing,,7-12 glasses per
11/7/2023 11:26,11/7/2023 11:29,IP Address,100,141,TRUE,11/7/2023 11:29,R_wNVe860HXkNwG09,qr,EN,"Yes, I want to participate",20,Sophomore,White/Caucasian,Woman,,Mostly liberal,,Prefer not to answer,,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,,,,,,,,knowing if it’s safe to drink ,Yes,7-12 glasses per
11/7/2023 11:26,11/7/2023 11:30,IP Address,100,233,TRUE,11/7/2023 11:30,R_3iVUZ3M3PbvVp59,qr,EN,"Yes, I want to participate",20,Sophomore,Asian,Woman,,Prefer not to answer,,Prefer not to answer,,Yes,Plastic bottled water,Yes,Public Supply,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,1,7,4,2,5,3,6,,,7-12 glasses per
11/7/2023 11:29,11/7/2023 11:32,IP Address,100,158,TRUE,11/7/2023 11:32,R_3M4CZ8NxPuIqxMv,qr,EN,"Yes, I want to participate",20,Sophomore,White/Caucasian,Non-binary,,Mostly liberal,,Zip Code,2169,No,Tap water,No,Public Supply,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,6,4,3,2,5,1,7,,No,Prefer not to answer
11/7/2023 11:29,11/7/2023 11:34,IP Address,100,306,TRUE,11/7/2023 11:34,R_SIQBjRL7sKjPGmJ,qr,EN,"Yes, I want to participate",19,Freshman,Black or African American,Man,,Mixed,,Prefer not to answer,,No,Plastic bottled water,Yes,,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,2,6,3,4,7,1,5,Taste better ,,2-6 glasses per day
11/7/2023 11:32,11/7/2023 11:34,IP Address,100,129,TRUE,11/7/2023 11:34,R_O99frnkmAXB8C9b,qr,EN,"Yes, I want to participate",21,Junior,Hispanic or Latino,Woman,,Mostly liberal,,Zip Code,1801,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,,,,,Knowing it’s regularly getting tested ,,2-6 glasses per day
11/7/2023 11:30,11/7/2023 11:35,IP Address,100,321,TRUE,11/7/2023 11:35,R_3rYbzgu4gPkyLfG,qr,EN,"Yes, I want to participate",20,Junior,Black or African American,Woman,,Prefer not to answer,,Zip Code,2360,No,Tap water,No,Public Supply,Somewhat agree,,Somewhat agree,,Neither agree nor disagree,,,,,,,,Filteration,Yes,2-6 glasses per day
11/7/2023 11:42,11/7/2023 11:45,IP Address,100,147,TRUE,11/7/2023 11:45,R_3ETsIGcZlaz2GBq,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Woman,,Prefer not to answer,,Prefer not to answer,,No,Plastic bottled water,Yes,Well,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,Color is clear,,2-6 glasses per day
11/7/2023 11:46,11/7/2023 11:48,IP Address,100,137,TRUE,11/7/2023 11:48,R_33DwpqcKVi6o1L0,qr,EN,"Yes, I want to participate",19,Freshman,Asian,Man,,Mixed,,Zip Code,2119,,Plastic bottled water,Yes,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,2,1,3,5,6,7,4,,,2-6 glasses per day
11/7/2023 11:47,11/7/2023 11:50,IP Address,100,155,TRUE,11/7/2023 11:50,R_3iJ35SsJQ02nZyM,qr,EN,"Yes, I want to participate",19,Sophomore,Black or African American,Woman,,Mostly liberal,,Prefer not to answer,,No,Glass bottled/canned/boxed water,Yes,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,2,1,3,5,7,6,4,Seeing facts ,,2-6 glasses per day
11/7/2023 11:46,11/7/2023 11:50,IP Address,100,193,TRUE,11/7/2023 11:50,R_2XaFQrp5XYwIHtB,qr,EN,"Yes, I want to participate",22,Senior,"White/Caucasian,Hispanic or Latino",Woman,,Prefer not to answer,,Zip Code,2150,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,,,,,,,,if i actually knew how ( or if ) it was treated. ,No,2-6 glasses per day
11/7/2023 11:49,11/7/2023 11:50,IP Address,100,93,TRUE,11/7/2023 11:50,R_3irObzuZfvsEz4d,qr,EN,"Yes, I want to participate",19,Sophomore,Asian,Man,,Mixed,,Zip Code,1585,No,Tap water,Yes,Public Supply,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
11/7/2023 11:49,11/7/2023 11:51,IP Address,100,120,TRUE,11/7/2023 11:51,R_x9snehAxKFVHxkd,qr,EN,"Yes, I want to participate",27,Sophomore,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2302,Yes,Tap water,Yes,Public Supply,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,Yes,7-12 glasses per
11/7/2023 11:49,11/7/2023 11:51,IP Address,100,145,TRUE,11/7/2023 11:51,R_UYJBqFHFrgd6PEB,qr,EN,"Yes, I want to participate",19,Sophomore,Asian,Woman,,Mixed,,Prefer not to answer,,No,Plastic bottled water,Yes,Public Supply,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,2-6 glasses per day
11/7/2023 11:52,11/7/2023 11:53,IP Address,100,19,TRUE,11/7/2023 11:53,R_3QGztosaRKfZP3p,qr,EN,"No, I don't want to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2023 11:50,11/7/2023 11:53,IP Address,100,185,TRUE,11/7/2023 11:53,R_OIk3rSUABR5KCL7,qr,EN,"Yes, I want to participate",22,Junior,White/Caucasian,Woman,,Consistently liberal,,Zip Code,2150,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,1,6,2,3,4,5,7,Officials being transparent about water safety ,,2-6 glasses per day
11/7/2023 11:50,11/7/2023 11:54,IP Address,100,235,TRUE,11/7/2023 11:54,R_324sjBtqhBB572h,qr,EN,"Yes, I want to participate",24,Junior,Black or African American,Man,,Mostly liberal,,Zip Code,1923,,Tap water,No,Public Supply,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2,3,1,4,6,5,7,A guarantee that it’s safe,Yes,7-12 glasses per
11/7/2023 11:51,11/7/2023 11:54,IP Address,100,174,TRUE,11/7/2023 11:54,R_2YijC4naGd4xyga,qr,EN,"Yes, I want to participate",21,Senior,White/Caucasian,Woman,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,1,2,3,6,4,5,7,,Yes,7-12 glasses per
11/7/2023 11:51,11/7/2023 11:54,IP Address,100,180,TRUE,11/7/2023 11:54,R_yJ8Wi18KViT7pAJ,qr,EN,"Yes, I want to participate",21,Senior,White/Caucasian,Woman,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,5,7,3,4,1,6,2,,Yes,13 or more glasses per day
11/7/2023 11:48,11/7/2023 12:08,IP Address,100,1196,TRUE,11/7/2023 12:08,R_1laDVi99NnewxeI,qr,EN,"Yes, I want to participate",19,Freshman,White/Caucasian,Man,,Consistently liberal,,Zip Code,2125,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,3,4,5,1,6,2,7,More communication ,Yes,2-6 glasses per day
11/7/2023 11:48,11/7/2023 12:31,IP Address,100,2570,TRUE,11/7/2023 12:31,R_scI2CjVOQ70srAt,qr,EN,"Yes, I want to participate",20,Freshman,White/Caucasian,Non-binary,,Consistently liberal,,Zip Code,2066,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,1,3,2,5,6,4,7,,,Less than 2 glasses per day
11/7/2023 12:54,11/7/2023 12:56,IP Address,100,116,TRUE,11/7/2023 12:56,R_Asuc1E6ojBsL1S1,qr,EN,"Yes, I want to participate",18,Freshman,Hispanic or Latino,Woman,,Prefer not to answer,,Prefer not to answer,,,Plastic bottled water,No,Public Supply,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,,,,,i don’t really trust it,,2-6 glasses per day
11/7/2023 12:56,11/7/2023 12:58,IP Address,100,145,TRUE,11/7/2023 12:58,R_1EZput62Ao0LfoU,qr,EN,"Yes, I want to participate",19,Junior,Asian,Man,,Mixed,,,,No,Tap water,No,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,No,7-12 glasses per
